"Flightid";"Routecode";"Origin";"Destination";"Flightdate";"Flightdurationmins";"Aircrafttype";"Seatsavailable";"Seatssold";"Revenue";"Operationalcost"
5416;"JAI-DEL";"JAI";"DEL";"2026-11-13";98;"Airbus A320neo";186;155;636120.0;526217.57
5417;"IXC-DEL";"IXC";"DEL";"2023-04-12";152;"ATR 72";78;52;254696.0;184368.63
5418;"PNQ-HYD";"PNQ";"HYD";"2022-11-21";132;"Airbus A320neo";186;146;1370502.0;860206.25
5419;"PNQ-HYD";"PNQ";"HYD";"2022-09-01";188;"Airbus A321";220;195;1264575.0;1004047.09
5420;"NAG-BOM";"NAG";"BOM";"2026-09-09";122;"Boeing 737 MAX 8";186;182;1284556.0;1035375.05
5421;"GOI-DEL";"GOI";"DEL";"2023-07-20";204;"Boeing 737 MAX 8";186;112;638736.0;556780.29
5422;"IXC-DEL";"IXC";"DEL";"2023-01-26";167;"Boeing 737-800";189;184;1185328.0;935292.94
5423;"IXB-CCU";"IXB";"CCU";"2023-03-12";240;"Airbus A321";220;124;859940.0;698423.9
5424;"TRV-MAA";"TRV";"MAA";"2024-11-18";201;"Airbus A320";180;123;392247.0;350464.63
5425;"IXB-CCU";"IXB";"CCU";"2026-01-28";154;"Airbus A320";180;142;1574780.0;1255458.49
5426;"CCU-DEL";"CCU";"DEL";"2025-12-22";192;"Boeing 737-800";189;136;470560.0;265638.8
5427;"IXB-CCU";"IXB";"CCU";"2024-08-01";218;"Boeing 737-800";189;149;1761180.0;1578759.2
5428;"IXC-DEL";"IXC";"DEL";"2024-06-22";218;"Boeing 787-8";256;180;731880.0;447014.05
5429;"JAI-DEL";"JAI";"DEL";"2024-04-14";197;"Boeing 787-8";256;250;675750.0;532157.49
5430;"DEL-BLR";"DEL";"BLR";"2022-11-28";111;"Airbus A320";180;138;714978.0;632264.01
5431;"IXB-CCU";"IXB";"CCU";"2023-11-07";53;"Boeing 787-8";256;241;2034040.0;1600784.69
5432;"GOI-DEL";"GOI";"DEL";"2025-10-05";75;"Airbus A321";220;217;849555.0;675933.8
5433;"BLR-HYD";"BLR";"HYD";"2025-10-04";195;"Airbus A320neo";186;180;1353240.0;909804.87
5434;"JAI-DEL";"JAI";"DEL";"2022-10-30";134;"ATR 72";78;61;522404.0;393431.24
5435;"LKO-BOM";"LKO";"BOM";"2026-07-27";121;"Boeing 737-800";189;104;728832.0;425623.11
5436;"BOM-DEL";"BOM";"DEL";"2026-08-01";239;"Boeing 737-800";189;177;1398477.0;1085411.26
5437;"IXB-CCU";"IXB";"CCU";"2025-12-08";76;"Airbus A321";220;218;2091056.0;1771633.12
5438;"MAA-BOM";"MAA";"BOM";"2026-01-06";128;"Airbus A320";180;150;1352400.0;781406.17
5439;"DEL-BLR";"DEL";"BLR";"2024-09-06";129;"Boeing 737-800";189;162;658206.0;533936.09
5440;"CCU-DEL";"CCU";"DEL";"2022-12-30";53;"Airbus A320neo";186;123;787077.0;561045.74
5441;"MAA-BOM";"MAA";"BOM";"2022-01-03";215;"Airbus A320";180;148;1008472.0;635168.54
5442;"BLR-HYD";"BLR";"HYD";"2022-07-21";119;"ATR 72";78;71;812240.0;653062.25
5443;"BLR-HYD";"BLR";"HYD";"2022-09-20";151;"Boeing 737-800";189;109;1022856.0;593171.22
5444;"BOM-DEL";"BOM";"DEL";"2022-06-15";188;"Boeing 737 MAX 8";186;107;681590.0;607443.29
5445;"MAA-BOM";"MAA";"BOM";"2025-06-01";95;"Airbus A320";180;99;982872.0;812841.95
5446;"MAA-BOM";"MAA";"BOM";"2022-09-16";172;"Boeing 737 MAX 8";186;120;1192800.0;981059.51
5447;"NAG-BOM";"NAG";"BOM";"2024-04-21";58;"ATR 72";78;62;188790.0;111247.28
5448;"MAA-BOM";"MAA";"BOM";"2026-12-22";197;"Airbus A321";220;162;513540.0;399478.51
5449;"IXB-CCU";"IXB";"CCU";"2022-03-31";187;"Boeing 737 MAX 8";186;156;1174212.0;727166.98
5450;"GOI-DEL";"GOI";"DEL";"2022-06-26";85;"Airbus A321";220;165;465960.0;273903.97
5451;"MAA-BOM";"MAA";"BOM";"2023-08-24";74;"ATR 72";78;66;296076.0;210842.5
5452;"LKO-BOM";"LKO";"BOM";"2024-05-07";119;"Boeing 737-800";189;143;1678248.0;1441527.45
5453;"PNQ-HYD";"PNQ";"HYD";"2025-04-23";213;"Airbus A320neo";186;138;865122.0;706866.36
5454;"PNQ-HYD";"PNQ";"HYD";"2022-11-18";177;"Boeing 737-800";189;119;721616.0;635093.22
5455;"IXC-DEL";"IXC";"DEL";"2023-12-16";216;"Boeing 737 MAX 8";186;142;931520.0;822181.19
5456;"GOI-DEL";"GOI";"DEL";"2022-02-16";93;"Boeing 737-800";189;171;488547.0;422323.34
5457;"MAA-BOM";"MAA";"BOM";"2024-03-24";191;"Boeing 737-800";189;160;1311200.0;861766.52
5458;"GOI-DEL";"GOI";"DEL";"2023-07-13";187;"ATR 72";78;67;342772.0;209450.6
5459;"IXC-DEL";"IXC";"DEL";"2024-11-29";65;"Boeing 737 MAX 8";186;116;1323444.0;951949.06
5460;"LKO-BOM";"LKO";"BOM";"2025-12-18";190;"Boeing 737 MAX 8";186;114;909720.0;529964.51
5461;"NAG-BOM";"NAG";"BOM";"2024-10-18";105;"Airbus A321";220;197;2142769.0;1246858.33
5462;"DEL-BLR";"DEL";"BLR";"2025-04-10";55;"Boeing 737 MAX 8";186;155;1419645.0;1109624.62
5463;"IXB-CCU";"IXB";"CCU";"2023-12-02";77;"Boeing 737-800";189;130;1063920.0;896296.59
5464;"PNQ-HYD";"PNQ";"HYD";"2025-07-29";91;"Airbus A320";180;125;1235375.0;913256.15
5465;"PNQ-HYD";"PNQ";"HYD";"2022-05-21";107;"Airbus A321";220;196;1070356.0;840210.53
5466;"BLR-HYD";"BLR";"HYD";"2024-01-20";210;"Airbus A320";180;118;1106014.0;968945.37
5467;"IXC-DEL";"IXC";"DEL";"2023-03-01";141;"ATR 72";78;50;155200.0;130027.2
5468;"JAI-DEL";"JAI";"DEL";"2024-02-16";235;"Airbus A320neo";186;166;1196528.0;788756.57
5469;"JAI-DEL";"JAI";"DEL";"2024-04-01";230;"Airbus A321";220;181;848890.0;749661.07
5470;"TRV-MAA";"TRV";"MAA";"2025-08-27";198;"Boeing 737 MAX 8";186;131;1443751.0;883975.24
5471;"CCU-DEL";"CCU";"DEL";"2022-12-10";197;"Airbus A320";180;175;867650.0;487440.47
5472;"CCU-DEL";"CCU";"DEL";"2025-05-29";192;"Boeing 787-8";256;212;644056.0;572228.14
5473;"IXB-CCU";"IXB";"CCU";"2025-07-25";139;"Boeing 787-8";256;225;2224350.0;1326519.5
5474;"JAI-DEL";"JAI";"DEL";"2026-10-31";137;"Boeing 737-800";189;113;293913.0;261899.3
5475;"PNQ-HYD";"PNQ";"HYD";"2026-12-23";194;"Boeing 787-8";256;147;792477.0;470728.09
5476;"MAA-BOM";"MAA";"BOM";"2024-05-27";115;"Boeing 737 MAX 8";186;174;797790.0;589178.01
5477;"IXC-DEL";"IXC";"DEL";"2025-04-16";162;"Airbus A321";220;131;912153.0;729897.93
5478;"JAI-DEL";"JAI";"DEL";"2025-01-20";140;"Boeing 737 MAX 8";186;114;950988.0;565323.55
5479;"COK-BLR";"COK";"BLR";"2026-09-12";122;"Boeing 737 MAX 8";186;102;1165350.0;668749.35
5480;"AMD-BOM";"AMD";"BOM";"2026-07-21";65;"ATR 72";78;72;626256.0;395126.41
5481;"BOM-DEL";"BOM";"DEL";"2022-09-03";132;"Boeing 737-800";189;134;940010.0;651076.08
5482;"CCU-DEL";"CCU";"DEL";"2022-12-26";210;"Boeing 737-800";189;175;783475.0;589947.03
5483;"JAI-DEL";"JAI";"DEL";"2024-10-01";85;"Boeing 787-8";256;224;2203488.0;1695075.55
5484;"BOM-DEL";"BOM";"DEL";"2023-06-03";102;"Boeing 787-8";256;224;2383360.0;2090759.13
5485;"CCU-DEL";"CCU";"DEL";"2022-02-14";224;"Airbus A320";180;157;774638.0;559554.26
5486;"BOM-DEL";"BOM";"DEL";"2024-07-08";116;"Airbus A320";180;153;970479.0;640751.97
5487;"MAA-BOM";"MAA";"BOM";"2024-09-18";87;"Airbus A321";220;137;413055.0;284590.91
5488;"PNQ-HYD";"PNQ";"HYD";"2026-07-15";208;"ATR 72";78;77;252329.0;149814.87
5489;"TRV-MAA";"TRV";"MAA";"2025-02-03";65;"Airbus A320";180;152;1518328.0;1293001.08
5490;"IXC-DEL";"IXC";"DEL";"2024-01-04";119;"ATR 72";78;76;807956.0;474960.8
5491;"PNQ-HYD";"PNQ";"HYD";"2026-02-02";183;"ATR 72";78;77;670516.0;523271.95
5492;"PNQ-HYD";"PNQ";"HYD";"2026-03-05";90;"ATR 72";78;76;895356.0;799784.88
5493;"IXC-DEL";"IXC";"DEL";"2023-02-06";55;"Boeing 737 MAX 8";186;140;1258460.0;917054.03
5494;"AMD-BOM";"AMD";"BOM";"2023-04-27";174;"ATR 72";78;68;592620.0;504365.12
5495;"MAA-BOM";"MAA";"BOM";"2026-08-03";88;"Airbus A320";180;126;530460.0;294156.9
5496;"CCU-DEL";"CCU";"DEL";"2026-06-08";78;"ATR 72";78;76;891632.0;620474.39
5497;"LKO-BOM";"LKO";"BOM";"2026-04-21";117;"Airbus A320";180;140;1315020.0;818837.76
5498;"IXB-CCU";"IXB";"CCU";"2022-01-05";57;"Boeing 737-800";189;148;1479112.0;875904.0
5499;"COK-BLR";"COK";"BLR";"2022-03-20";197;"ATR 72";78;60;463500.0;390611.53
5500;"AMD-BOM";"AMD";"BOM";"2025-09-05";196;"Airbus A320";180;108;1200636.0;687622.05
5501;"LKO-BOM";"LKO";"BOM";"2023-04-12";93;"Airbus A321";220;128;1230592.0;872218.41
5502;"CCU-DEL";"CCU";"DEL";"2025-01-20";130;"Airbus A320";180;128;1359744.0;1026946.12
5503;"DEL-BLR";"DEL";"BLR";"2023-09-24";56;"Airbus A321";220;125;580750.0;355544.38
5504;"IXB-CCU";"IXB";"CCU";"2023-05-21";94;"Airbus A320neo";186;117;1387854.0;951436.57
5505;"IXB-CCU";"IXB";"CCU";"2022-05-18";69;"Boeing 737-800";189;149;405727.0;229158.82
5506;"IXB-CCU";"IXB";"CCU";"2025-12-03";212;"Airbus A320";180;121;547525.0;484598.27
5507;"LKO-BOM";"LKO";"BOM";"2022-05-19";223;"ATR 72";78;74;302586.0;172964.06
5508;"LKO-BOM";"LKO";"BOM";"2022-08-27";177;"Boeing 737 MAX 8";186;109;761910.0;533966.89
5509;"MAA-BOM";"MAA";"BOM";"2022-11-19";68;"ATR 72";78;75;266550.0;217499.33
5510;"DEL-BLR";"DEL";"BLR";"2026-09-07";144;"Airbus A320";180;117;1212003.0;746528.43
5511;"BOM-DEL";"BOM";"DEL";"2025-04-22";102;"Airbus A320neo";186;185;1561770.0;1363897.57
5512;"BLR-HYD";"BLR";"HYD";"2024-07-08";60;"ATR 72";78;72;505728.0;366182.56
5513;"LKO-BOM";"LKO";"BOM";"2024-04-10";110;"Airbus A320neo";186;134;1499460.0;1114473.81
5514;"PNQ-HYD";"PNQ";"HYD";"2026-01-30";105;"Airbus A320neo";186;130;953680.0;558536.21
5515;"NAG-BOM";"NAG";"BOM";"2022-10-23";73;"Airbus A320neo";186;158;528668.0;453300.53
5516;"NAG-BOM";"NAG";"BOM";"2025-06-06";89;"Airbus A321";220;132;903012.0;655180.95
5517;"IXC-DEL";"IXC";"DEL";"2022-08-12";88;"Boeing 787-8";256;242;643720.0;480080.59
5518;"JAI-DEL";"JAI";"DEL";"2026-02-08";189;"Airbus A320";180;143;1284140.0;719322.6
5519;"LKO-BOM";"LKO";"BOM";"2026-12-20";61;"Boeing 737-800";189;103;742424.0;460436.59
5520;"TRV-MAA";"TRV";"MAA";"2023-10-24";238;"Airbus A321";220;173;1976871.0;1289966.86
5521;"IXC-DEL";"IXC";"DEL";"2026-04-12";132;"Boeing 737-800";189;135;497070.0;446958.78
5522;"TRV-MAA";"TRV";"MAA";"2022-08-08";174;"Boeing 787-8";256;180;1573740.0;1230662.53
5523;"DEL-BLR";"DEL";"BLR";"2026-06-23";177;"Boeing 737-800";189;106;304962.0;172571.88
5524;"GOI-DEL";"GOI";"DEL";"2026-08-06";75;"Boeing 737-800";189;155;1559765.0;1171705.3
5525;"IXB-CCU";"IXB";"CCU";"2024-06-18";119;"Airbus A321";220;162;699192.0;478753.55
5526;"JAI-DEL";"JAI";"DEL";"2025-04-24";165;"Airbus A321";220;183;554307.0;422084.71
5527;"AMD-BOM";"AMD";"BOM";"2023-07-10";93;"Boeing 737 MAX 8";186;171;610470.0;426170.78
5528;"AMD-BOM";"AMD";"BOM";"2026-12-18";101;"Airbus A321";220;187;1767898.0;1148328.79
5529;"LKO-BOM";"LKO";"BOM";"2026-06-25";53;"Boeing 737-800";189;162;1728702.0;1522815.58
5530;"BOM-DEL";"BOM";"DEL";"2024-03-18";109;"ATR 72";78;54;338904.0;186728.25
5531;"IXC-DEL";"IXC";"DEL";"2022-01-27";132;"Airbus A320";180;139;1272545.0;713195.36
5532;"NAG-BOM";"NAG";"BOM";"2025-07-06";79;"Boeing 737 MAX 8";186;170;1405220.0;1128649.3
5533;"TRV-MAA";"TRV";"MAA";"2025-02-11";125;"Boeing 787-8";256;237;1891734.0;1418759.27
5534;"AMD-BOM";"AMD";"BOM";"2024-02-19";104;"ATR 72";78;43;172430.0;101713.07
5535;"TRV-MAA";"TRV";"MAA";"2023-04-05";123;"Boeing 787-8";256;154;645722.0;358152.95
5536;"IXB-CCU";"IXB";"CCU";"2025-10-06";160;"Boeing 737-800";189;184;887432.0;496909.28
5537;"BLR-HYD";"BLR";"HYD";"2024-10-20";239;"Airbus A321";220;131;1235199.0;1040468.45
5538;"IXB-CCU";"IXB";"CCU";"2022-08-21";70;"Airbus A320neo";186;179;1318872.0;1136051.77
5539;"IXC-DEL";"IXC";"DEL";"2022-05-11";169;"Boeing 787-8";256;239;694056.0;445347.67
5540;"LKO-BOM";"LKO";"BOM";"2023-02-05";176;"Boeing 787-8";256;197;1091380.0;866828.04
5541;"LKO-BOM";"LKO";"BOM";"2024-06-19";66;"Boeing 787-8";256;229;2202064.0;1911691.11
5542;"AMD-BOM";"AMD";"BOM";"2023-03-10";115;"Boeing 737 MAX 8";186;113;479572.0;291493.57
5543;"DEL-BLR";"DEL";"BLR";"2024-01-21";169;"Boeing 737 MAX 8";186;179;1806826.0;1294013.38
5544;"BOM-DEL";"BOM";"DEL";"2023-06-12";143;"Airbus A320";180;178;1650594.0;1147190.19
5545;"CCU-DEL";"CCU";"DEL";"2024-08-01";67;"ATR 72";78;44;454520.0;289637.32
5546;"LKO-BOM";"LKO";"BOM";"2026-05-16";120;"Boeing 737 MAX 8";186;131;686571.0;611164.51
5547;"CCU-DEL";"CCU";"DEL";"2026-04-10";234;"Airbus A321";220;207;830070.0;681081.77
5548;"LKO-BOM";"LKO";"BOM";"2022-08-14";61;"Airbus A320";180;123;533574.0;329018.29
5549;"BOM-DEL";"BOM";"DEL";"2026-05-17";104;"Boeing 787-8";256;249;2576403.0;2228876.22
5550;"LKO-BOM";"LKO";"BOM";"2023-12-23";176;"Airbus A320";180;141;632244.0;453038.98
5551;"TRV-MAA";"TRV";"MAA";"2022-04-14";65;"ATR 72";78;48;306192.0;233032.97
5552;"AMD-BOM";"AMD";"BOM";"2024-08-09";202;"Boeing 737-800";189;160;1654720.0;953844.6
5553;"BLR-HYD";"BLR";"HYD";"2025-11-08";123;"Boeing 787-8";256;238;837046.0;589340.95
5554;"COK-BLR";"COK";"BLR";"2022-09-20";159;"Boeing 787-8";256;248;1750384.0;1388645.24
5555;"IXB-CCU";"IXB";"CCU";"2026-11-04";145;"Airbus A320";180;124;397420.0;338855.75
5556;"PNQ-HYD";"PNQ";"HYD";"2022-11-25";102;"Boeing 737 MAX 8";186;139;779790.0;658588.43
5557;"NAG-BOM";"NAG";"BOM";"2023-09-27";150;"Boeing 787-8";256;165;993300.0;815335.88
5558;"BLR-HYD";"BLR";"HYD";"2022-12-03";53;"ATR 72";78;59;216117.0;185247.24
5559;"IXB-CCU";"IXB";"CCU";"2024-03-21";79;"Boeing 737-800";189;180;1940760.0;1483705.69
5560;"IXC-DEL";"IXC";"DEL";"2025-12-31";199;"Boeing 787-8";256;178;517802.0;344885.62
5561;"AMD-BOM";"AMD";"BOM";"2023-01-23";170;"Boeing 737 MAX 8";186;115;1243725.0;980182.9
5562;"MAA-BOM";"MAA";"BOM";"2025-03-30";99;"Boeing 787-8";256;155;1628740.0;923250.95
5563;"IXB-CCU";"IXB";"CCU";"2026-08-22";173;"Boeing 737 MAX 8";186;143;1257399.0;918184.68
5564;"AMD-BOM";"AMD";"BOM";"2022-10-07";173;"ATR 72";78;48;552672.0;341320.39
5565;"BLR-HYD";"BLR";"HYD";"2026-01-11";104;"Boeing 737 MAX 8";186;138;1548636.0;1208338.25
5566;"GOI-DEL";"GOI";"DEL";"2022-05-06";237;"Airbus A320neo";186;111;768342.0;520565.51
5567;"GOI-DEL";"GOI";"DEL";"2025-09-12";164;"ATR 72";78;75;320550.0;195737.76
5568;"BOM-DEL";"BOM";"DEL";"2023-03-02";160;"Boeing 737-800";189;107;911640.0;757890.67
5569;"GOI-DEL";"GOI";"DEL";"2023-12-06";165;"Boeing 737-800";189;176;1279344.0;876465.64
5570;"BLR-HYD";"BLR";"HYD";"2022-05-24";207;"Airbus A320";180;122;769088.0;626721.67
5571;"JAI-DEL";"JAI";"DEL";"2022-05-13";209;"Airbus A320neo";186;143;1485770.0;1148888.31
5572;"PNQ-HYD";"PNQ";"HYD";"2025-08-30";172;"ATR 72";78;73;188778.0;164789.06
5573;"IXC-DEL";"IXC";"DEL";"2025-05-31";63;"Airbus A320";180;177;1801683.0;1584146.35
5574;"TRV-MAA";"TRV";"MAA";"2022-08-05";129;"Airbus A320";180;164;1258536.0;970669.02
5575;"NAG-BOM";"NAG";"BOM";"2026-08-16";109;"Airbus A320";180;116;1039128.0;927130.85
5576;"LKO-BOM";"LKO";"BOM";"2023-05-24";84;"Airbus A320neo";186;144;1681344.0;1182552.78
5577;"GOI-DEL";"GOI";"DEL";"2025-07-14";105;"Airbus A320neo";186;174;918024.0;698114.11
5578;"IXB-CCU";"IXB";"CCU";"2022-09-02";92;"Airbus A320neo";186;138;1461420.0;1193110.73
5579;"IXB-CCU";"IXB";"CCU";"2026-10-20";60;"Boeing 737-800";189;138;373566.0;270820.24
5580;"JAI-DEL";"JAI";"DEL";"2023-11-17";57;"ATR 72";78;42;500220.0;413347.87
5581;"CCU-DEL";"CCU";"DEL";"2025-09-03";116;"Airbus A320";180;157;619051.0;442448.62
5582;"NAG-BOM";"NAG";"BOM";"2022-06-19";210;"Airbus A320neo";186;135;465345.0;275772.06
5583;"COK-BLR";"COK";"BLR";"2024-01-17";216;"Boeing 787-8";256;185;987160.0;759560.82
5584;"BLR-HYD";"BLR";"HYD";"2022-03-29";213;"ATR 72";78;58;296960.0;214717.56
5585;"IXB-CCU";"IXB";"CCU";"2022-07-06";116;"Airbus A320neo";186;168;1498224.0;854441.49
5586;"MAA-BOM";"MAA";"BOM";"2023-05-19";156;"ATR 72";78;45;364050.0;220748.27
5587;"CCU-DEL";"CCU";"DEL";"2022-04-13";120;"Boeing 737-800";189;124;512492.0;453179.6
5588;"IXC-DEL";"IXC";"DEL";"2025-12-03";109;"Airbus A320neo";186;148;1300032.0;895147.71
5589;"NAG-BOM";"NAG";"BOM";"2024-08-16";155;"Airbus A321";220;175;2031050.0;1364248.57
5590;"CCU-DEL";"CCU";"DEL";"2026-06-04";188;"Airbus A320";180;121;610445.0;510621.5
5591;"GOI-DEL";"GOI";"DEL";"2022-03-16";205;"Boeing 737-800";189;178;1728914.0;1450644.53
5592;"COK-BLR";"COK";"BLR";"2023-05-04";204;"Boeing 737 MAX 8";186;173;432846.0;326170.88
5593;"BLR-HYD";"BLR";"HYD";"2026-10-26";204;"ATR 72";78;67;758172.0;600639.61
5594;"LKO-BOM";"LKO";"BOM";"2024-01-24";167;"Airbus A320neo";186;161;1706117.0;1349185.61
5595;"IXC-DEL";"IXC";"DEL";"2022-01-13";202;"Boeing 737 MAX 8";186;180;1324800.0;888536.41
5596;"BOM-DEL";"BOM";"DEL";"2025-09-25";176;"Airbus A320neo";186;127;1316101.0;1084977.32
5597;"JAI-DEL";"JAI";"DEL";"2022-05-30";50;"Airbus A320neo";186;117;1354275.0;833466.01
5598;"AMD-BOM";"AMD";"BOM";"2022-10-31";180;"Boeing 737-800";189;179;825011.0;571406.06
5599;"BOM-DEL";"BOM";"DEL";"2024-06-28";62;"Airbus A321";220;192;568320.0;476497.71
5600;"DEL-BLR";"DEL";"BLR";"2023-05-01";167;"Boeing 737 MAX 8";186;123;1235166.0;889440.11
5601;"COK-BLR";"COK";"BLR";"2026-04-19";169;"Airbus A321";220;197;1156390.0;842792.41
5602;"TRV-MAA";"TRV";"MAA";"2023-03-09";65;"Boeing 737 MAX 8";186;163;1293242.0;1153852.11
5603;"BLR-HYD";"BLR";"HYD";"2022-06-25";190;"Airbus A320";180;130;1444690.0;1168285.28
5604;"BLR-HYD";"BLR";"HYD";"2024-07-12";229;"Airbus A320";180;127;1056640.0;829113.4
5605;"GOI-DEL";"GOI";"DEL";"2024-06-04";184;"Airbus A320neo";186;121;446974.0;277887.83
5606;"BLR-HYD";"BLR";"HYD";"2024-08-28";94;"Boeing 787-8";256;255;1958910.0;1301030.9
5607;"DEL-BLR";"DEL";"BLR";"2022-12-21";172;"Airbus A320";180;158;423756.0;326767.78
5608;"IXB-CCU";"IXB";"CCU";"2022-04-01";68;"Airbus A320neo";186;138;1508340.0;1212003.83
5609;"JAI-DEL";"JAI";"DEL";"2022-04-12";143;"Boeing 787-8";256;165;506550.0;341288.87
5610;"DEL-BLR";"DEL";"BLR";"2023-07-03";80;"Airbus A321";220;199;957986.0;762444.69
5611;"DEL-BLR";"DEL";"BLR";"2022-05-18";220;"Boeing 787-8";256;233;914758.0;791412.93
5612;"JAI-DEL";"JAI";"DEL";"2022-10-08";155;"Boeing 787-8";256;183;1840248.0;1314022.18
5613;"NAG-BOM";"NAG";"BOM";"2026-03-23";181;"Boeing 787-8";256;226;1966426.0;1504496.72
5614;"AMD-BOM";"AMD";"BOM";"2023-11-25";188;"Airbus A320";180;146;715546.0;479462.04
5615;"TRV-MAA";"TRV";"MAA";"2024-07-20";156;"Airbus A321";220;199;600582.0;445636.27
5616;"IXB-CCU";"IXB";"CCU";"2023-06-24";86;"Airbus A320";180;123;892857.0;776033.37
5617;"IXB-CCU";"IXB";"CCU";"2026-11-15";178;"ATR 72";78;45;464940.0;397517.4
5618;"PNQ-HYD";"PNQ";"HYD";"2026-06-10";66;"ATR 72";78;77;559944.0;425812.87
5619;"TRV-MAA";"TRV";"MAA";"2026-02-07";216;"Boeing 737-800";189;181;1303924.0;811578.42
5620;"BOM-DEL";"BOM";"DEL";"2025-11-15";104;"Boeing 737-800";189;143;369941.0;213499.33
5621;"JAI-DEL";"JAI";"DEL";"2022-12-25";106;"Airbus A321";220;134;879844.0;586812.69
5622;"GOI-DEL";"GOI";"DEL";"2024-01-14";199;"Airbus A320neo";186;164;1348244.0;1107767.79
5623;"TRV-MAA";"TRV";"MAA";"2023-02-24";207;"Airbus A320";180;101;366832.0;322018.05
5624;"BOM-DEL";"BOM";"DEL";"2026-11-03";216;"Airbus A320";180;171;480168.0;393725.9
5625;"TRV-MAA";"TRV";"MAA";"2025-08-21";174;"Airbus A320";180;112;1142176.0;803946.05
5626;"GOI-DEL";"GOI";"DEL";"2024-01-05";179;"Boeing 787-8";256;223;1781770.0;1135507.62
5627;"AMD-BOM";"AMD";"BOM";"2024-06-22";185;"Boeing 737 MAX 8";186;124;1486512.0;1251102.01
5628;"PNQ-HYD";"PNQ";"HYD";"2022-03-24";173;"Boeing 737-800";189;127;994918.0;853788.13
5629;"CCU-DEL";"CCU";"DEL";"2023-05-30";224;"Airbus A320";180;174;1447854.0;834995.88
5630;"GOI-DEL";"GOI";"DEL";"2026-11-05";190;"Airbus A320";180;110;1162150.0;912464.96
5631;"IXC-DEL";"IXC";"DEL";"2026-02-08";196;"Airbus A320";180;143;1544257.0;1385316.3
5632;"MAA-BOM";"MAA";"BOM";"2024-12-13";237;"Airbus A320";180;130;780910.0;549989.49
5633;"TRV-MAA";"TRV";"MAA";"2024-02-28";143;"Boeing 737-800";189;123;359898.0;270710.04
5634;"NAG-BOM";"NAG";"BOM";"2025-02-09";168;"Airbus A320neo";186;113;877332.0;545834.84
5635;"AMD-BOM";"AMD";"BOM";"2023-08-07";69;"ATR 72";78;78;757692.0;530209.53
5636;"JAI-DEL";"JAI";"DEL";"2022-09-05";208;"Boeing 787-8";256;212;1444992.0;1072199.67
5637;"AMD-BOM";"AMD";"BOM";"2025-10-24";133;"Boeing 787-8";256;159;1302846.0;839349.99
5638;"NAG-BOM";"NAG";"BOM";"2022-05-31";58;"Airbus A320neo";186;144;422928.0;376492.13
5639;"BOM-DEL";"BOM";"DEL";"2024-04-12";173;"ATR 72";78;62;397792.0;326397.53
5640;"BLR-HYD";"BLR";"HYD";"2025-06-12";202;"ATR 72";78;70;561050.0;484769.89
5641;"DEL-BLR";"DEL";"BLR";"2025-07-03";240;"Boeing 787-8";256;231;2036265.0;1649555.9
5642;"NAG-BOM";"NAG";"BOM";"2024-09-14";110;"Airbus A320neo";186;163;1766105.0;1540966.75
5643;"CCU-DEL";"CCU";"DEL";"2024-09-16";234;"Boeing 737 MAX 8";186;171;1542249.0;1359309.19
5644;"PNQ-HYD";"PNQ";"HYD";"2024-07-06";155;"Airbus A321";220;197;1942814.0;1621676.01
5645;"AMD-BOM";"AMD";"BOM";"2023-08-23";237;"ATR 72";78;64;311808.0;215284.22
5646;"LKO-BOM";"LKO";"BOM";"2022-09-23";75;"Airbus A320neo";186;172;533544.0;479815.55
5647;"IXB-CCU";"IXB";"CCU";"2025-03-18";96;"ATR 72";78;44;333124.0;279914.17
5648;"BOM-DEL";"BOM";"DEL";"2026-12-19";127;"Airbus A320neo";186;136;423096.0;363920.07
5649;"LKO-BOM";"LKO";"BOM";"2024-01-20";128;"Boeing 737 MAX 8";186;131;1160005.0;785067.59
5650;"IXB-CCU";"IXB";"CCU";"2023-07-06";234;"Airbus A320";180;177;740214.0;558168.76
5651;"IXB-CCU";"IXB";"CCU";"2022-05-20";100;"ATR 72";78;69;191475.0;120468.07
5652;"BLR-HYD";"BLR";"HYD";"2025-03-11";53;"Airbus A320neo";186;169;1757938.0;1512896.95
5653;"AMD-BOM";"AMD";"BOM";"2022-06-20";233;"Boeing 737 MAX 8";186;118;826236.0;479582.49
5654;"COK-BLR";"COK";"BLR";"2026-12-10";66;"Boeing 787-8";256;182;1427244.0;1027008.0
5655;"IXC-DEL";"IXC";"DEL";"2022-04-09";112;"Airbus A320neo";186;149;1735999.0;1190812.56
5656;"COK-BLR";"COK";"BLR";"2026-02-25";183;"Boeing 737-800";189;109;671440.0;573860.15
5657;"PNQ-HYD";"PNQ";"HYD";"2023-10-11";111;"Boeing 787-8";256;224;998144.0;663081.23
5658;"LKO-BOM";"LKO";"BOM";"2026-02-21";81;"Airbus A321";220;139;709595.0;610065.57
5659;"CCU-DEL";"CCU";"DEL";"2024-01-23";62;"Boeing 737 MAX 8";186;163;846622.0;647562.6
5660;"LKO-BOM";"LKO";"BOM";"2026-12-08";155;"Boeing 737 MAX 8";186;123;655836.0;549097.39
5661;"CCU-DEL";"CCU";"DEL";"2024-05-21";217;"Airbus A321";220;179;598576.0;341461.74
5662;"CCU-DEL";"CCU";"DEL";"2023-10-04";116;"ATR 72";78;71;447797.0;282332.21
